!c
c:[    0    44    27    56    57    44    12    48    45    62    36    38    36    49    58    51    41    30    51    13     8    61    28    42    54
    35     0    35    36    54    38    49    21    29    36    51    29    37    51    30    14    35    17    19    30    28    47    35    41    35
    35    36     0    55    81    38    40    55    39    61    56    47    52    69    60    34    59    22    28    13    26    80    36    55    48
    59    41    55     0    20    42    59    23    11    13    77    45    35    36    31    22    28    32    28    46    52    26    52    33    18
    59    56    78    35     0    35    55    24    31    20    47    33    37    19    21    45    14    45    58    69    65    10    47    26    31
    44    41    36    42    41     0    18    37    45    41    32    21    26    24    14    48    25    27    40    50    38    29    28     9    57
    20    47    42    73    54    26     0    40    55    62    12    34    33    53    37    65    34    32    47    35    29    53    28    42    75
    43    33    45    23    30    25    52     0    16    23    58    32    10    30    20    19     7    19    27    46    53    24    31    26    22
    58    19    50    13    23    35    64    26     0    15    70    42    36    36    25    31    27    39    19    42    54    35    45    38    13
    63    51    69    17    13    45    52    26    31     0    72    53    34    22    16    32    13    34    44    63    68    22    39    30    26
    24    51    55    81    50    33    20    53    68    73     0    21    41    40    52    67    51    47    66    47    34    56    34    31    69
    39    46    47    61    37    23    46    26    46    54    28     0    22     9    27    42    33    35    49    55    53    31    29     7    60
    54    19    40    44    22     9    41     9    39    19    40    24     0    23    18    29     8    33    24    54    59    21    37     2    47
    65    32    64    49    16    33    51    28    41    22    34    22    19     0    16    40    15    37    51    63    72    15    49     4    52
    62    38    52    28    22    29    35    24    39    22    47    21    10    17     0    30    15    36    31    51    61    15    34     9    32
    47    18    25    33    45    42    51    15    25    36    69    56    35    42    44     0    31    39     2    29    48    54    38    40    26
    46    26    51    17    23    25    52    14    28    16    52    39    25    20    22    33     0    41    40    64    58    23    31    30    21
    18    21    28    28    53    28    25    23    27    53    45    26    20    42    44    37    38     0    30    36    22    59    21    28    32
    48    20    25    33    52    35    49    34    30    41    74    38    29    48    36     9    34    37     0    24    33    51    45    34    27
    23    28    28    64    79    48    34    55    40    63    30    60    51    62    55    34    50    20    24     0     9    67    27    64    51
     9    31    33    53    64    37    16    53    49    71    38    56    54    73    65    46    55    22    29    15     0    79    33    58    59
    69    51    73    33     7    29    53    36    38    23    51    42    31    22    20    48    29    56    50    66    82     0    57    19    19
    31    37    37    52    40    21    34    25    47    35    44    39    29    40    34    43    22    11    46    29    29    51     0    43    58
    51    43    55    41    16    12    47    27    38    40    37    18     6    15     6    28    25    36    30    55    60    27    26     0    37
    58    30    46    13    21    46    77    39     5    18    85    52    47    51    41    18    28    49    36    51    57    21    50    56     0

]
